R,u,n,:, ,0
0,"[0.18, 0.5442857142857143, 0.7071428571428572, 0.7585714285714286, 0.8042857142857143, 0.8185714285714286, 0.8385714285714285, 0.8485714285714285, 0.8542857142857143, 0.8585714285714285]",avgAccuarcyofEpoch,"[0.72128571428571431, 0.91128571428571425, 0.92228571428571426, 0.93128571428571427, 0.94071428571428584]"
1,"[0.9042857142857142, 0.9042857142857142, 0.9085714285714286, 0.91, 0.9128571428571428, 0.9128571428571428, 0.9142857142857143, 0.9142857142857143, 0.9157142857142857, 0.9157142857142857]",avgAccuarcyofEpoch,"[0.72128571428571431, 0.91128571428571425, 0.92228571428571426, 0.93128571428571427, 0.94071428571428584]"
2,"[0.9257142857142857, 0.9228571428571428, 0.9214285714285714, 0.9214285714285714, 0.9214285714285714, 0.9214285714285714, 0.9214285714285714, 0.9228571428571428, 0.9228571428571428, 0.9214285714285714]",avgAccuarcyofEpoch,"[0.72128571428571431, 0.91128571428571425, 0.92228571428571426, 0.93128571428571427, 0.94071428571428584]"
3,"[0.93, 0.9285714285714286, 0.93, 0.93, 0.93, 0.9314285714285714, 0.9328571428571428, 0.9328571428571428, 0.9328571428571428, 0.9342857142857143]",avgAccuarcyofEpoch,"[0.72128571428571431, 0.91128571428571425, 0.92228571428571426, 0.93128571428571427, 0.94071428571428584]"
4,"[0.94, 0.9385714285714286, 0.9385714285714286, 0.9414285714285714, 0.9414285714285714, 0.9414285714285714, 0.9414285714285714, 0.9414285714285714, 0.9414285714285714, 0.9414285714285714]",avgAccuarcyofEpoch,"[0.72128571428571431, 0.91128571428571425, 0.92228571428571426, 0.93128571428571427, 0.94071428571428584]"
0.9505
R,u,n,:, ,1
0,"[0.11428571428571428, 0.6, 0.7271428571428571, 0.7657142857142857, 0.7885714285714286, 0.8157142857142857, 0.8257142857142857, 0.8342857142857143, 0.8428571428571429, 0.85]",avgAccuarcyofEpoch,"[0.71642857142857141, 0.90257142857142869, 0.92557142857142849, 0.92514285714285704, 0.93685714285714305]"
1,"[0.8942857142857142, 0.8957142857142857, 0.8971428571428571, 0.9, 0.9028571428571428, 0.9042857142857142, 0.9071428571428571, 0.9085714285714286, 0.9071428571428571, 0.9085714285714286]",avgAccuarcyofEpoch,"[0.71642857142857141, 0.90257142857142869, 0.92557142857142849, 0.92514285714285704, 0.93685714285714305]"
2,"[0.9257142857142857, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857, 0.9242857142857143, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857]",avgAccuarcyofEpoch,"[0.71642857142857141, 0.90257142857142869, 0.92557142857142849, 0.92514285714285704, 0.93685714285714305]"
3,"[0.9242857142857143, 0.9242857142857143, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857, 0.9242857142857143, 0.9242857142857143, 0.9257142857142857, 0.9257142857142857, 0.9257142857142857]",avgAccuarcyofEpoch,"[0.71642857142857141, 0.90257142857142869, 0.92557142857142849, 0.92514285714285704, 0.93685714285714305]"
4,"[0.94, 0.9385714285714286, 0.9371428571428572, 0.9357142857142857, 0.9357142857142857, 0.9357142857142857, 0.9357142857142857, 0.9357142857142857, 0.9371428571428572, 0.9371428571428572]",avgAccuarcyofEpoch,"[0.71642857142857141, 0.90257142857142869, 0.92557142857142849, 0.92514285714285704, 0.93685714285714305]"
0.954
